0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
"{'role': 'Hajime Mutsuki', 'name': 'Kousuke Toriumi'}","{'role': 'Shun Shimotsuki', 'name': 'Ryohei Kimura'}","{'role': 'Yoru Nagatsuki', 'name': 'Takashi Kondō'}","{'role': 'Kai Fuzuki', 'name': 'Wataru Hatano'}","{'role': 'Kanade Tsukishiro', 'name': 'Masahiro Yamanaka'}","{'role': 'Yō Hazuki', 'name': 'Tetsuya Kakihara'}","{'role': 'Aoi Satsuki', 'name': 'Kenn'}","{'role': 'Iku Kannazuki', 'name': 'Kensho Ono'}","{'role': 'Haru Yayoi', 'name': 'Tomoaki Maeno'}","{'role': 'Arata Uzuki', 'name': 'Yoshimasa Hosoya'}","{'role': 'Kakeru Shiwasu', 'name': 'Yuuki Kaji'}","{'role': 'Hiroshi Kurotsuki', 'name': 'Yasuhiro Mamiya'}","{'role': 'Koi Kisaragi', 'name': 'Toshiki Masuda'}","{'role': 'Rui Minazuki', 'name': 'Shōta Aoi'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Hidaka', 'name': 'Jun Fukushima'}","{'role': 'Salt', 'name': 'Kenjiro Tsuda'}","{'role': 'Sayuri', 'name': 'Yōko Hikasa'}","{'role': 'TT-392', 'name': 'Kazuyuki Okitsu'}","{'role': 'Yayaka', 'name': 'Ayaka Ohashi'}","{'role': 'Cocona', 'name': 'Minami Takahashi'}","{'role': 'Uexküll', 'name': 'Michiyo Murase'}","{'role': 'Papika', 'name': 'M.A.O'}","{'role': 'Yuyu', 'name': 'Airi Toshinō'}","{'role': 'Toto', 'name': 'Sayaka Inoue'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': ""Rinné O'Hara"", 'name': 'Yukari Tamura'}","{'role': 'Rinne Ohara', 'name': 'Yukari Tamura'}","{'role': 'Moritsugu Kurutsu', 'name': 'Mitsuru Ogata'}","{'role': 'Setsuna Sanzenkai', 'name': 'Tatsuhisa Suzuki'}","{'role': 'Kuon Ohara', 'name': 'Rina Satou'}","{'role': 'Karen Kurutsu', 'name': 'Kana Asumi'}","{'role': 'Karin Kurz', 'name': 'Kana Asumi'}","{'role': 'Sarah Garland', 'name': 'Hibiku Yamamura'}","{'role': 'Tarō Harisu', 'name': 'Takamasa Mogi'}","{'role': 'Momoka Yamabuki', 'name': 'Ai Kakuma'}","{'role': 'Mei Tandori', 'name': 'Yui Nakajima'}","{'role': 'Ann Hatoma', 'name': 'Tomoyo Takayanagi'}","{'role': 'Emiri Sunada', 'name': 'Takako Tanaka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Gen Hasegawa', 'name': 'Katsuyuki Konishi'}","{'role': 'Wataru Mizoguchi', 'name': 'Tomokazu Sugita'}","{'role': 'Satsuki Takashiro', 'name': 'Yuko Kaida'}","{'role': 'Tamotsu Kaneda', 'name': 'Anri Katsu'}","{'role': 'Jin Dōmoto', 'name': 'Hiroki Yasumoto'}","{'role': 'Kōji Tōno', 'name': 'Yuu Hayashi'}","{'role': 'Haruko Bandō', 'name': 'Ayumi Fujimura'}","{'role': 'Shō Tokugawa', 'name': 'Yūki Ono'}","{'role': 'Kazuma Hashimoto', 'name': 'Nobuhiko Okamoto'}","{'role': 'Takuya Nabeshima', 'name': 'Ryūichi Kijima'}","{'role': 'Hisashi Mori', 'name': 'Tasuku Hatanaka'}","{'role': 'Ryūzō Sakuma', 'name': 'Ayumu Murase'}","{'role': 'Takeru Andō', 'name': 'Chiharu Sawashiro'}","{'role': 'Kaoru Hanasaki', 'name': 'Yoshitaka Yamaya'}","{'role': 'Haruki Bandō', 'name': 'Yūki Yonai'}","{'role': 'Chen Zixian', 'name': 'Yosei Bun'}","{'role': 'Takumi Nabeshima', 'name': 'Takefumi Yumihara'}","{'role': 'Chihiro Sakai', 'name': 'Reika Uyama'}","{'role': 'Natsuki Someya', 'name': 'Hayato Kimura'}","{'role': 'Daichi Norita', 'name': 'Yūya Hirose'}","{'role': 'Sōichirō Suzuki', 'name': 'Kōsuke Kuwano'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Tomochika Shibuya', 'name': 'Yuka Imai'}","{'role': 'Cecil Aijima', 'name': 'Kousuke Toriumi'}","{'role': 'Haruka Nanami', 'name': 'Miyuki Sawashiro'}","{'role': 'Masato Hijirikawa', 'name': 'Kenichi Suzumura'}","{'role': 'Shō Kurusu', 'name': 'Hiro Shimono'}","{'role': 'Natsuki Shinomiya', 'name': 'Kishō Taniyama'}","{'role': 'Tokiya Ichinose', 'name': 'Mamoru Miyano'}","{'role': 'Ranmaru Kurosaki', 'name': 'Tatsuhisa Suzuki'}","{'role': 'Ringo Tsukimiya', 'name': 'Yūichi Nakamura'}","{'role': 'Reiji Kotobuki', 'name': 'Showtaro Morikubo'}","{'role': 'Camus', 'name': 'Tomoaki Maeno'}","{'role': 'Ren Jingūji', 'name': 'Junichi Suwabe'}","{'role': 'Ryūya Hyūga', 'name': 'Koji Yusa'}","{'role': 'Otoya Ittoki', 'name': 'Takuma Terashima'}","{'role': 'Ai Mikaze', 'name': 'Shōta Aoi'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Amane Ayashiro', 'name': 'Yukari Tamura'}","{'role': 'Aoi Mikage', 'name': 'Shizuka Itou'}","{'role': 'CodeΩ33 Carene', 'name': 'Minori Chihara'}","{'role': 'Dr. Michael', 'name': 'Mai Aizawa'}","{'role': 'CodeΩ46 Xenia', 'name': 'Kana Hanazawa'}","{'role': 'Elel', 'name': 'Aki Toyosaki'}","{'role': 'Aurora', 'name': 'Saori Hayami'}","{'role': 'Saya Sōgetsu', 'name': 'Minako Kotobuki'}","{'role': 'Ramiel', 'name': 'Aoi Yūki'}","{'role': 'Ruby', 'name': 'Yoshiko Ikuta'}","{'role': 'Eins Exaura', 'name': 'Ayane Sakura'}","{'role': 'Almaria', 'name': 'Yumi Hara'}","{'role': 'Mayuka Sanagi', 'name': 'Nozomi Yamamoto'}","{'role': 'Ageha Sanagi', 'name': 'Sumire Uesaka'}","{'role': 'Sofina', 'name': 'Mai Ishihara'}","{'role': 'Nya Lapucea', 'name': 'Sarah Emi Bridcutt'}","{'role': 'Miumi Hinata', 'name': 'Yuka Aisaka'}","{'role': 'Code Omega 00 Yufilia', 'name': 'Rie Takahashi'}","{'role': 'Code Omega 77 Stella', 'name': 'Rika Tachibana'}","{'role': 'Clara', 'name': 'Saya Satō'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Tigre', 'name': 'Kenji Hamada'}","{'role': 'Barbero', 'name': 'Takahiro Sakurai'}","{'role': 'Ganzo Alary', 'name': 'Masuo Amada'}","{'role': 'Vincente Vanetti', 'name': 'Kazuhiro Yamaji'}","{'role': 'Avilio Bruno/Angelo Laguza', 'name': 'Takashi Kondō'}","{'role': 'Vanno', 'name': 'Daisuke Ono'}","{'role': 'Ronaldo', 'name': 'Yūichi Nakamura'}","{'role': 'Fango', 'name': 'Kenjiro Tsuda'}","{'role': 'Nero Vanetti', 'name': 'Takuya Eguchi'}","{'role': 'Corteo', 'name': 'Sōma Saitō'}","{'role': 'Frate Vanetti', 'name': 'Kōtarō Nishiyama'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Calamity Mary', 'name': 'Kikuko Inoue'}","{'role': 'Cranberry', 'name': 'Megumi Ogata'}","{'role': 'Favu', 'name': 'Kurumi Mamiya'}","{'role': 'Weiss Winterprison', 'name': 'Yū Kobayashi'}","{'role': 'Magicaloid 44', 'name': 'Satomi Arai'}","{'role': 'Sister Nana', 'name': 'Saori Hayami'}","{'role': 'Ruler', 'name': 'Yōko Hikasa'}","{'role': 'Hard Gore Alice', 'name': 'Rina Hidaka'}","{'role': 'Tama', 'name': 'Asuka Nishi'}","{'role': 'Ripple', 'name': 'Manami Numakura'}","{'role': 'La Pucelle', 'name': 'Ayane Sakura'}","{'role': 'Swim Swim', 'name': 'Inori Minase'}","{'role': 'Snow White', 'name': 'Nao Tōyama'}","{'role': 'Top Speed', 'name': 'Yumi Uchiyama'}","{'role': 'Nemurin', 'name': 'Yumiri Hanamori'}","{'role': 'Yunael', 'name': 'Satsumi Matsuda'}","{'role': 'Minael', 'name': 'Risae Matsuda'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Eisaku Noguchi', 'name': 'Yūji Ueda'}","{'role': 'Sōmeiji Kawamoto', 'name': 'Shigeru Chiba'}","{'role': 'Tōji Sōya', 'name': 'Akira Ishida'}","{'role': 'Kai Shimada', 'name': 'Shinichiro Miki'}","{'role': 'Raidō Fujimoto', 'name': 'Akio Ohtsuka'}","{'role': 'Tatsuyuki Misumi ', 'name': 'Tomokazu Sugita'}","{'role': 'Yasui', 'name': 'Mitsuo Iwata'}","{'role': 'Takanori Jingūji', 'name': 'Tesshō Genda'}","{'role': 'Masachika Kōda', 'name': 'Toru Ohkawa'}","{'role': 'Okuyasu Yokomizo', 'name': 'Daisuke Sakaguchi'}","{'role': 'Takashi Hayashida', 'name': 'Takahiro Sakurai'}","{'role': 'Takeshi Tsujii', 'name': 'Yūichi Nakamura'}","{'role': 'Masamune Gotō', 'name': 'Hiroki Touchi'}","{'role': 'Kyōko Kōda', 'name': 'Marina Inoue'}","{'role': 'Morio Shigeta', 'name': 'Kenjiro Tsuda'}","{'role': 'Issa Matsumoto', 'name': 'Subaru Kimura'}","{'role': 'Hinata Kawamoto', 'name': 'Kana Hanazawa'}","{'role': 'Yūsuke Takahashi', 'name': 'Yoshimasa Hosoya'}","{'role': 'Harunobu Nikaidō', 'name': 'Nobuhiko Okamoto'}","{'role': 'Rei Kiriyama', 'name': 'Kengo Kawanishi'}","{'role': 'Momo Kawamoto', 'name': 'Misaki Kuno'}","{'role': 'Akari Kawamoto', 'name': 'Ai Kayano'}","{'role': 'Hanaoka', 'name': 'Yōji Ueda'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Chisa Yukizome', 'name': 'Mai Nakahara'}","{'role': 'Byakuya Togami', 'name': 'Akira Ishida'}","{'role': 'Kyōsuke Munakata', 'name': 'Toshiyuki Morikawa'}","{'role': 'Makoto Naegi', 'name': 'Megumi Ogata'}","{'role': 'Junko Enoshima', 'name': 'Megumi Toyoguchi'}","{'role': 'Daisaku Bandai', 'name': 'Rie Kugimiya'}","{'role': 'Kōichi Kizakura', 'name': 'Keiji Fujiwara'}","{'role': 'Monokuma', 'name': 'TARAKO'}","{'role': 'Kazuo Tengan', 'name': 'Hidekatsu Shibata'}","{'role': 'Monomi', 'name': 'Takako Sasuga'}","{'role': 'Tōko Fukawa', 'name': 'Miyuki Sawashiro'}","{'role': 'Monaka Towa', 'name': 'Aya Hirano'}","{'role': 'Yasuhiro Hagakure', 'name': 'Masaya Matsukaze'}","{'role': 'Great Gozu', 'name': 'Kenta Miyake'}","{'role': 'Aoi Asahina', 'name': 'Chiwa Saito'}","{'role': 'Jūzō Sakakura', 'name': 'Junichi Suwabe'}","{'role': 'Ryōta Mitarai', 'name': 'Kanata Hongou'}","{'role': 'Seiko Kimura', 'name': 'Saki Fujita'}","{'role': 'Kyōko Kirigiri', 'name': 'Yōko Hikasa'}","{'role': 'Komaru Naegi', 'name': 'Aya Uchida'}","{'role': 'Sōnosuke Izayoi', 'name': 'Takuya Eguchi'}","{'role': 'Ruruka Andō', 'name': 'Inori Minase'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Ririka Nishizono', 'name': 'Mamiko Noto'}","{'role': 'Aria Kurenaino', 'name': 'Miyuki Sawashiro'}","{'role': 'Takasu', 'name': 'Houchu Ohtsuka'}","{'role': 'Kiryū Kusakabe', 'name': 'Kishō Taniyama'}","{'role': 'Tōko Sumikaze', 'name': 'Shizuka Itou'}","{'role': 'Asuna Kizaki', 'name': 'Satomi Akesaka'}","{'role': 'Shun Moritsuka', 'name': 'Tetsuya Kakihara'}","{'role': 'Miyū Aikawa', 'name': 'Hitomi Yoshida'}","{'role': 'Kōhei Izumi', 'name': 'Kenjiro Tsuda'}","{'role': 'Yūta Gamon', 'name': 'Yuuki Kaji'}","{'role': 'Ryoka Narusawa', 'name': 'Ayane Sakura'}","{'role': 'Sarai Hashigami', 'name': 'Kaito Ishikawa'}","{'role': 'Chizu Kawabata', 'name': 'Maria Naganawa'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kayo Fujikawa', 'name': 'Aoi Yūki'}","{'role': 'Shiina Murakami', 'name': 'Rie Murakawa'}","{'role': 'Ayame Seki', 'name': 'Ari Ozawa'}","{'role': 'Tamaki Honda', 'name': 'Maria Naganawa'}","{'role': 'Minaha Iino', 'name': 'Ayaka Imamura'}","{'role': 'Yumine Fuda', 'name': 'Ryōko Maekawa'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Yōzō Ioka', 'name': 'Katsuhisa Houki'}","{'role': 'Shunji Mizugaki', 'name': 'Ryohei Kimura'}","{'role': 'Makoto Tomura', 'name': 'Hozumi Gōda'}","{'role': 'Takumi Harada', 'name': 'Kouki Uchiyama'}","{'role': 'Shūgo Kadowaki', 'name': 'Yūki Ono'}","{'role': 'Eiji Nobunishi', 'name': 'Shūta Morishima'}","{'role': 'Kō Nagakura', 'name': 'Tasuku Hatanaka'}","{'role': 'Nobuhiro Yoshisada', 'name': 'Sōma Saitō'}","{'role': 'Makiko Harada', 'name': 'Aiko Nogami'}","{'role': 'Fumito Sawaguchi', 'name': 'Ayumu Murase'}","{'role': 'Keita Higashidani', 'name': 'Kaito Ishikawa'}","{'role': 'Kazuki Kaionji', 'name': 'Yuichiro Umehara'}","{'role': 'Akira Nonomura', 'name': 'Mark Ishii'}","{'role': 'Seiha Harada', 'name': 'Yūi Fujimaki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Tomoe Takasago', 'name': 'Yui Ishikawa'}","{'role': 'Kunimitsu Shidō', 'name': 'Nobunaga Shimazaki'}","{'role': 'Ayame Kagurazaka', 'name': 'Mikako Komatsu'}","{'role': 'Masamune Izumi', 'name': 'Yoshitsugu Matsuoka'}","{'role': 'Megumi Jinno', 'name': 'Ibuki Kido'}","{'role': 'Elf Yamada', 'name': 'Minami Takahashi'}","{'role': 'Muramasa Senjū', 'name': 'Saori Ōnishi'}","{'role': 'Sagiri Izumi', 'name': 'Akane Fujita'}","{'role': 'Chris Yamada', 'name': 'Seiichirō Yamashita'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Kasumi Hiroyama', 'name': 'Rie Kugimiya'}","{'role': 'Juri', 'name': 'Kimiko Saitō'}","{'role': 'Reo Nikaido', 'name': 'Tetsuya Kakihara'}","{'role': 'Sawako Tennouji', 'name': 'Yuu Kobayashi'}","{'role': 'Okayama-sensei', 'name': 'Gô Shinomiya'}","{'role': 'Akane Tsutsui', 'name': 'Yoshimasa Hosoya'}","{'role': 'Takao Kawafuji', 'name': 'Kazuyuki Okitsu'}","{'role': 'Sei Handa', 'name': 'Nobunaga Shimazaki'}","{'role': 'Kei Hanada', 'name': 'Yusuke Shirai'}","{'role': 'Yukio Kondō', 'name': 'Daiki Yamashita'}","{'role': 'Maiko Mori', 'name': 'Miku Itō'}","{'role': 'Kōtarō Higashino', 'name': 'Makoto Furukawa'}","{'role': 'Miyoko Kinjo', 'name': 'Kaede Hondo'}","{'role': 'Junichi Aizawa', 'name': 'Yūya Hirose'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Shima Nishina', 'name': 'Miyuki Sawashiro'}","{'role': 'Kae Serinuma', 'name': 'Yū Kobayashi'}","{'role': 'Yūsuke Igarashi', 'name': 'Yūki Ono'}","{'role': 'Nozomu Nanashima', 'name': 'Keisuke Koumoto'}","{'role': 'Asuma Mutsumi', 'name': 'Nobunaga Shimazaki'}","{'role': 'Hayato Shinomiya', 'name': 'Yoshitsugu Matsuoka'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Yūsuke Yagi', 'name': 'Tomokazu Seki'}","{'role': 'Kōhei Inuzuka', 'name': 'Yūichi Nakamura'}","{'role': 'Megumi Iida', 'name': 'Satomi Arai'}","{'role': 'Shinobu Kojika', 'name': 'Haruka Tomatsu'}","{'role': 'Kotori Iida', 'name': 'Saori Hayami'}","{'role': 'Kindergarten teacher', 'name': 'Yuko Hara'}","{'role': 'Tsumugi Inuzuka', 'name': 'Rina Endō'}","{'role': 'Yūka', 'name': 'Komugi Kuga'}","{'role': 'Hana', 'name': 'Saaya Andō'}","{'role': 'Mikio', 'name': 'Shōki Tsuru'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Perot', 'name': 'Mayumi Iizuka'}","{'role': 'Robo Nameko', 'name': 'Kouki Miyata'}","{'role': 'Nameko-senpai', 'name': 'Kunihiro Kawamoto'}","{'role': 'Nameko', 'name': 'Haruka Fukuhara'}","{'role': 'Love Nameko', 'name': 'Atsumi Tanezaki'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Gundula Rall', 'name': 'Rina Satou'}","{'role': 'Edytha Rossmann', 'name': 'Hiromi Igarashi'}","{'role': 'Nikka Edvardine Katajainen', 'name': 'Natsumi Takamori'}","{'role': 'Waltrud Krupinski', 'name': 'Kayo Ishida'}","{'role': 'Aleksandra I. Pokryshkin', 'name': 'Yumi Hara'}","{'role': 'Naoe Kanno', 'name': 'Rie Murakawa'}","{'role': 'Hikari Karibuchi', 'name': 'Ai Kakuma'}","{'role': 'Georgette Lemare', 'name': 'Haruka Terui'}","{'role': 'Takami Karibuchi', 'name': 'Rie Suegara'}","{'role': 'Sadako Shimohara', 'name': 'Marin Mizutani'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'role': 'Hideyoshi', 'name': 'Kappei Yamaguchi'}","{'role': 'Saitō Tatsuoki', 'name': 'Yūji Ueda'}","{'role': 'Imagawa Yoshimoto', 'name': 'Tomokazu Seki'}","{'role': 'Mori Yoshinari', 'name': 'Tomokazu Seki'}","{'role': 'Matsudaira Motoyasu', 'name': 'Ryotaro Okiayu'}","{'role': 'Nene', 'name': 'Rie Kugimiya'}","{'role': 'Matsu', 'name': 'Naoko Matsui'}","{'role': 'Endo Naotsune', 'name': 'Kiyoyuki Yanada'}","{'role': 'Ashikaga Yoshiaki', 'name': 'Wataru Takagi'}","{'role': 'Hachisuka Koroku', 'name': 'Nobuyuki Hiyama'}","{'role': 'Asakura Yoshikage', 'name': 'Daisuke Kishio'}","{'role': 'Takanaka Hanbē', 'name': 'Daisuke Hirakawa'}","{'role': 'Shibata Katsuie', 'name': 'Toru Ohkawa'}","{'role': 'Azai Hisamasa', 'name': 'Takashi Matsuyama'}","{'role': 'Sugitani Zenjubo', 'name': 'Eiji Takemoto'}","{'role': 'Kichō', 'name': 'Chiaki Takahashi'}","{'role': 'Nobunaga', 'name': 'Wataru Hatano'}","{'role': 'Akechi Mitsuhide', 'name': 'Shinnosuke Tachibana'}","{'role': 'Azai Nagamasa', 'name': 'Yasuaki Takumi'}","{'role': 'Ujiie Bokuzen', 'name': 'Shinya Takahashi'}","{'role': 'Oichi', 'name': 'Suzuko Mimori'}","{'role': 'Gyūichi Ōta', 'name': 'Shūta Morishima'}","{'role': 'Inaba Ittetsu', 'name': 'Shūta Morishima'}","{'role': 'Isono Kazumasa', 'name': 'Shūta Morishima'}","{'role': 'Maeda Toshiie', 'name': 'Shūta Morishima'}","{'role': 'Chidori', 'name': 'Inori Minase'}","{'role': 'Rokkaku Shōtei', 'name': 'Raikō Sakamoto'}","{'role': 'Sukezō', 'name': 'Ayumu Murase'}","{'role': 'Hattori Hanzo', 'name': 'Valshe'}","{'role': 'Andō Morinari', 'name': 'Fukushi Ochiai'}","{'role': 'Imagawa Ujizane', 'name': 'Fukushi Ochiai'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
